wine,candidate,feature,validation_mae,mae_increase_when_shuffled,spearman_with_quality_2_1,ridge_standardized_coef,rank_within_model
red,Ridge,alcohol,0.5193847341111762,0.10324242715755463,0.4785316874702435,0.28941367716711497,1
red,Ridge,volatile acidity,0.5193847341111762,0.0406191920005249,-0.3806465104253755,-0.14358546988335633,2
red,Ridge,total sulfur dioxide,0.5193847341111762,0.026167298470120653,-0.1967350754412208,-0.1384221523134926,3
red,Ridge,sulphates,0.5193847341111762,0.024368108379730812,0.37706019910212196,0.15533758880899956,4
red,Ridge,chlorides,0.5193847341111762,0.014166243225286212,-0.1899223356173072,-0.09025106892128275,5
red,Ridge,density,0.5193847341111762,0.007415552350280824,-0.17707406597199962,-0.04268841915828904,6
red,Ridge,fixed acidity,0.5193847341111762,0.0036040094092101627,0.11408367358880324,0.056953539797140414,7
red,Ridge,free sulfur dioxide,0.5193847341111762,0.002055088581312864,-0.0569006455015393,0.04657965474793041,8
red,Ridge,pH,0.5193847341111762,0.001068347700805905,-0.043671934788928383,-0.047299107337511054,9
red,Ridge,citric acid,0.5193847341111762,-0.00026526622865111205,0.2134809144221363,0.014772841785713335,10
red,Ridge,residual sugar,0.5193847341111762,-0.0030500705816268623,0.032048167529057335,0.04549878625985592,11
red,随机森林,alcohol,0.5051176403035529,0.11608833379167967,0.4785316874702435,0.28941367716711497,1
red,随机森林,sulphates,0.5051176403035529,0.051324559202582255,0.37706019910212196,0.15533758880899956,2
red,随机森林,volatile acidity,0.5051176403035529,0.02636846893715965,-0.3806465104253755,-0.14358546988335633,3
red,随机森林,total sulfur dioxide,0.5051176403035529,0.02024775024701488,-0.1967350754412208,-0.1384221523134926,4
red,随机森林,density,0.5051176403035529,0.008532138135482365,-0.17707406597199962,-0.04268841915828904,5
red,随机森林,free sulfur dioxide,0.5051176403035529,0.006854213455765363,-0.0569006455015393,0.04657965474793041,6
red,随机森林,chlorides,0.5051176403035529,0.0034153230124147615,-0.1899223356173072,-0.09025106892128275,7
red,随机森林,fixed acidity,0.5051176403035529,0.003200421913803142,0.11408367358880324,0.056953539797140414,8
red,随机森林,pH,0.5051176403035529,0.0030643490734184762,-0.043671934788928383,-0.047299107337511054,9
red,随机森林,residual sugar,0.5051176403035529,0.0011630198605943553,0.032048167529057335,0.04549878625985592,10
red,随机森林,citric acid,0.5051176403035529,0.0008344222191793871,0.2134809144221363,0.014772841785713335,11
white,Ridge,density,0.5813621222774177,0.15141126182878772,-0.34835102264412215,-0.3695769694179737,1
white,Ridge,residual sugar,0.5813621222774177,0.1372451427838372,-0.08206978991126886,0.3707275102743858,2
white,Ridge,alcohol,0.5813621222774177,0.09187142168633898,0.440369181624683,0.2826327686289188,3
white,Ridge,volatile acidity,0.5813621222774177,0.041859292243784256,-0.1965616829526432,-0.17838008225110344,4
white,Ridge,pH,0.5813621222774177,0.009892787285335325,0.10936207744663339,0.09579045670500727,5
white,Ridge,free sulfur dioxide,0.5813621222774177,0.0061532811991000195,0.023713375736277593,0.054916232819366716,6
white,Ridge,sulphates,0.5813621222774177,0.004133624760272808,0.03331896941807418,0.061887232836837745,7
white,Ridge,chlorides,0.5813621222774177,0.0004149395976284498,-0.31448847828244203,-0.006920864793615398,8
white,Ridge,citric acid,0.5813621222774177,-0.00010018168843606846,0.018332725649382695,0.012252219823399746,9
white,Ridge,fixed acidity,0.5813621222774177,-0.0003286104671389678,-0.08448544853281695,0.028226494815240567,10
white,Ridge,total sulfur dioxide,0.5813621222774177,-0.0007576098367429562,-0.19668028952372787,-0.023967332993505085,11
white,随机森林,alcohol,0.5473766949168377,0.18717054445552933,0.440369181624683,0.2826327686289188,1
white,随机森林,volatile acidity,0.5473766949168377,0.05799466633782868,-0.1965616829526432,-0.17838008225110344,2
white,随机森林,free sulfur dioxide,0.5473766949168377,0.04367207149179969,0.023713375736277593,0.054916232819366716,3
white,随机森林,residual sugar,0.5473766949168377,0.011869131837850927,-0.08206978991126886,0.3707275102743858,4
white,随机森林,pH,0.5473766949168377,0.010566700582765532,0.10936207744663339,0.09579045670500727,5
white,随机森林,citric acid,0.5473766949168377,0.008171086685348366,0.018332725649382695,0.012252219823399746,6
white,随机森林,chlorides,0.5473766949168377,0.00800116212257444,-0.31448847828244203,-0.006920864793615398,7
white,随机森林,density,0.5473766949168377,0.0073252681580051274,-0.34835102264412215,-0.3695769694179737,8
white,随机森林,total sulfur dioxide,0.5473766949168377,0.006720907509041302,-0.19668028952372787,-0.023967332993505085,9
white,随机森林,sulphates,0.5473766949168377,0.00656605681217155,0.03331896941807418,0.061887232836837745,10
white,随机森林,fixed acidity,0.5473766949168377,0.005699081719167665,-0.08448544853281695,0.028226494815240567,11
